beer_name,brewery,style,abv,ibu,comment,rating,date,brewery_country,brewery_city,brewery_state
Nut Brown Ale,Goose Island Beer Co.,Brown Ale - English,5.2,25,Tasty nut brown in a bottle.,4,2015-02-17,United States,Chicago,IL
Horicon Session IPA,Central Waters Brewing Company,IPA - Session / India Session Ale,4.5,30,Good low ABV IPA style.,4.5,2015-02-17,United States,Amherst,WI
Oatmeal Stout,Gray's Brewing Company (WI),Stout - Oatmeal,5.2,25,Solid oatmeal stout.  Smooth and good flavor.,4.5,2015-02-18,United States,Janesville,WI
Abbey,New Belgium Brewing Company,Belgian Dubbel,7,20,"Good Belgian beer, but I don't like Belgians as much as I used to.",3.5,2015-02-18,United States,Fort Collins,CO
Limited Asylum: India Brown Ale,Ale Asylum,Brown Ale - American,7,0,Delicious!  Perfect balance of hoppiness and distinct brown ale flavor.,5,2015-02-19,United States,Madison,WI
2å¡ Below Winter Ale,New Belgium Brewing Company,Winter Ale,6.6,0,"Good malty, roasty winter ale",3.5,2015-02-19,United States,Fort Collins,CO
Two Hearted Ale,Bell's Brewery,IPA - American,7,55,Maybe the best beer ever produced!,5,2015-02-20,United States,Galesburg,MI
Cappuccino Stout,Lagunitas Brewing Company,Stout - American Imperial / Double,9,30,Great coffee flavor,4.5,2015-02-20,United States,Petaluma,CA
Grapefruit Harvest IPA,Abita Brewing Company,IPA - American,6,40,Super grapefruity but tasty,4,2015-02-20,United States,Abita Springs,LA
Big Butt Doppelbock,Jacob Leinenkugel Brewing Company,Doppelbock,5.8,14,Pretty decent dopplebock,3.5,2015-02-22,United States,Chippewa Falls,WI
Ranger,New Belgium Brewing Company,IPA - American,6.5,70,A little bitter compared to the really good IPAs out there.,3,2015-02-24,United States,Fort Collins,CO
Rampant,New Belgium Brewing Company,IPA - Imperial / Double,8.5,85,"Decent, but nothing stellar",3.5,2015-02-25,United States,Fort Collins,CO
Honker's Ale,Goose Island Beer Co.,Extra Special / Strong Bitter,4.3,30,Lacking flavor compared to other good ales,3,2015-02-25,United States,Chicago,IL
