beer_name,brewery,style,abv,ibu,comment,rating,brewery_city,brewery_state
Nut Brown Ale,Goose Island Beer Co.,Brown Ale - English,5.2,25,Tasty nut brown in a bottle.,4,Chicago,IL
Horicon Session IPA,Central Waters Brewing Company,IPA - Session / India Session Ale,4.5,30,Good low ABV IPA style.,4.5,Amherst,WI
Oatmeal Stout,Gray's Brewing Company (WI),Stout - Oatmeal,5.2,25,Solid oatmeal stout.  Smooth and good flavor.,4.5,Janesville,WI
Abbey,New Belgium Brewing Company,Belgian Dubbel,7,20,"Good Belgian beer, but I don't like Belgians as much as I used to.",3.5,Fort Collins,CO
Limited Asylum: India Brown Ale,Ale Asylum,Brown Ale - American,7,0,Delicious!  Perfect balance of hoppiness and distinct brown ale flavor.,5,Madison,WI
2° Below Winter Ale,New Belgium Brewing Company,Winter Ale,6.6,0,"Good malty, roasty winter ale",3.5,Fort Collins,CO
Two Hearted Ale,Bell's Brewery,IPA - American,7,0,Maybe the best beer ever produced!,5,Galesburg,MI
Cappuccino Stout,Lagunitas Brewing Company,Stout - American Imperial / Double,9,30,Great coffee flavor,4.5,Petaluma,CA
Grapefruit Harvest IPA,Abita Brewing Company,IPA - American,6,40,Super grapefruity but tasty,4,Abita Springs,LA
Big Butt Doppelbock,Jacob Leinenkugel Brewing Company,Doppelbock ,5.8,14,Pretty decent dopplebock,3.5,Chippewa Falls,WI
Ranger,New Belgium Brewing Company,IPA - American,6.5,70,A little bitter compared to the really good IPAs out there.,3,Fort Collins,CO
Rampant,New Belgium Brewing Company,IPA - Imperial / Double,8.5,85,"Decent, but nothing stellar",3.5,Fort Collins,CO
Honker's Ale,Goose Island Beer Co.,Extra Special / Strong Bitter,4.3,30,Lacking flavor compared to other good ales,3,Chicago,IL
Dundee Honey Brown Lager,Dundee Ales & Lagers,Lager - American Amber / Red,4.5,10,Pretty bland,2.5,Rochester,NY
Mudpuppy Porter,Central Waters Brewing Company,Porter - American,5.5,0,"Solid Porter, especially on nitro",4.5,Amherst,WI
Glacial Trail IPA,Central Waters Brewing Company,IPA - American,6.5,65,Nothing special but pretty good,3.5,Amherst,WI
Illumination Double IPA,Central Waters Brewing Company,IPA - Imperial / Double,9,108,Tasty Double IPA,4,Amherst,WI
Brewhouse Coffee Stout,Central Waters Brewing Company,Stout - American,8.2,0,Excellent!,5,Amherst,WI
Fat Tire,New Belgium Brewing Company,Red Ale - American Amber / Red,5.2,22,,3.5,Fort Collins,CO
Ouisconsing Red Ale,Central Waters Brewing Company,Red Ale - American Amber / Red,5.2,0,Nothing spectacular but decent red,3,Amherst,WI
Mojo IPA,Boulder Beer Company,IPA - American,7.2,70,A little bitter but not too shabby,3.5,Boulder,CO
Fixed Gear,Lakefront Brewery,Red Ale - American Amber / Red,6.8,33,Good red + hoppy ale,4,Milwaukee,WI
Creamy Dark,Jacob Leinenkugel Brewing Company,Lager - Black,4.9,20,Nothing special but it's pretty good,3.5,Chippewa Falls,WI
Spiced Orange,John Crabbie & Co,Ginger Beer,4.8,0,Pretty tasty,4,Glasgow,"City of Glasgow, G3 7QF"
K-Town Brown,Public Craft Brewing Co.,Brown Ale - American,4.8,21,Pretty good brown,4,Kenosha,WI
Permanent Funeral,3 Floyds Brewing Company,IPA - Imperial / Double,10.5,100,,4.5,Munster,IN
Bourbon County Brand Stout,Goose Island Beer Co.,Stout - American Imperial / Double,15,60,,4.5,Chicago,IL
Fresh Squeezed IPA,Deschutes Brewery,IPA - American,6.4,60,Beer-fection!  My favorite beer on the planet.,5,Bend,OR
Road Slush,New Glarus Brewing Company,Stout - Oatmeal,6.2,0,,4,New Glarus,WI
Lilja's Hell Hound Brown Ale,Pangaea Beer Company,Brown Ale - American,7,91,Decent,3.5,Wisconsin Rapids,WI
Satin Solitude Imperial Stout,Central Waters Brewing Company,Stout - American Imperial / Double,8.5,0,,4,Amherst,WI
Moose Drool Brown Ale,Big Sky Brewing Company,Brown Ale - American,5.1,0,,4.5,Missoula,MT
